Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",94.775000,-50.575000,0.000000,top
"C1","0.1uF","C_0805_2012Metric",93.250000,-59.600000,-90.000000,top
"C3","0.8pF","C_0805_2012Metric",115.262500,-71.075000,-90.000000,top
"C4","0.1uF","C_0805_2012Metric",104.300000,-61.000000,90.000000,top
"C5","10p","C_0805_2012Metric",102.325000,-64.150000,0.000000,top
"C6","10p","C_0805_2012Metric",102.325000,-69.025000,0.000000,top
"C7","100pF","C_0805_2012Metric",116.100000,-66.975000,0.000000,top
"C8","1uF","C_0805_2012Metric",112.050000,-61.050000,90.000000,top
"C9","4.7uF","C_0805_2012Metric",106.350000,-61.000000,90.000000,top
"C10","0.1uF","C_0805_2012Metric",114.225000,-61.075000,90.000000,top
"C11","0.1uF","C_0805_2012Metric",107.925000,-81.675000,0.000000,top
"C12","10p","C_0805_2012Metric",117.725000,-58.850000,180.000000,top
"C13","10p","C_0805_2012Metric",120.450000,-61.575000,-90.000000,top
"D1","D_Schottky","SOD2513X120N",91.075000,-59.900000,90.000000,top
"D2","LED","LED_0805_2012Metric",112.450000,-84.250000,90.000000,top
"D3","LED","LED_0805_2012Metric",114.200000,-50.987500,-90.000000,top
"D4","1N4148","D_SOD-323_HandSoldering",107.950000,-83.625000,0.000000,top
"IC1","MCP73831T-2ACI_OT","SOT-23-5",96.212500,-56.150000,-90.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",115.550000,-76.545000,0.000000,top
"J2","217175-0001","2171750001",85.197500,-68.400000,-90.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",102.100000,-86.350000,-90.000000,top
"L1","3.9nH","L_0805_2012Metric",118.000000,-70.200000,0.000000,top
"L2","10uH","L_0805_2012Metric",108.300000,-61.050000,90.000000,top
"L3","15nH","L_0805_2012Metric",110.100000,-61.050000,-90.000000,top
"M1","Motor_DC","PinHeader_1x02_P2.54mm_Vertical",106.825000,-86.400000,90.000000,top
"Q1","PMOS","SOT96P240X110-3N",92.250000,-56.125000,0.000000,top
"Q2","NPN","SOT95P240X115-3N",108.875000,-78.700000,-90.000000,top
"R1","4.7k","R_0805_2012Metric",99.375000,-69.987500,-90.000000,top
"R5","R_Variable","PinSocket_1x02_P2.54mm_Horizontal",110.200000,-55.275000,-90.000000,top
"R6","300","R_0805_2012Metric",112.475000,-80.862500,-90.000000,top
"R7","300","R_0805_2012Metric",114.150000,-54.387500,90.000000,top
"R8","2k","R_0805_2012Metric",109.000000,-75.825000,0.000000,top
"R9","10k","R_0805_2012Metric",99.025000,-56.200000,90.000000,top
"R10","4.7k","R_0805_2012Metric",102.525000,-76.137500,90.000000,top
"SW1","Reset","SW_SPST_B3SL-1002P",87.100000,-79.225000,0.000000,top
"U1","nRF52811-QCxx","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias",109.525000,-67.575000,0.000000,top
"U3","BMI270","XDCR_BMI270",95.800000,-72.712500,-90.000000,top
"U4","MCP1700x-330xxMB","SOT-89-3",96.850000,-60.575000,90.000000,top
"U5","2450AT18A100E","2450AT18A100E_JOT",120.825000,-71.698801,-90.000000,top
"Y1","ABM10W-32.0000MHZ-8-B1U-T3","ABM10W240000MHZ8K1ZT3",117.725000,-61.675000,-90.000000,top
"Y2","Crystal","Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm",103.025000,-66.600000,-90.000000,top
